@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
6700,'2016/09/28 23:46:37:228',29,1.169474,-0.684265,-0.240002,-0.363886,0.623617,-0.636656,0.009334,-0.010952,0.216868,-0.013703,0.367676,0.107325,0.252185,1
6701,'2016/09/28 23:46:37:244',29,1.261375,-0.669044,-0.27508,-0.248376,0.515429,-0.526238,0.009019,-0.030535,0.164641,0.030635,0.310334,0.124232,0.282483,1
6702,'2016/09/28 23:46:37:261',29,1.301168,-0.685425,-0.242543,-0.337703,0.680042,-0.62987,0.00143,0.055332,0.078389,0.011576,0.338124,0.099024,0.299208,1
6703,'2016/09/28 23:46:37:278',29,1.242819,-0.740832,-0.178687,-0.356376,0.58717,-0.609927,0.092214,-0.027816,0.161783,-0.066832,0.424265,0.095921,0.246192,1
6704,'2016/09/28 23:46:37:295',29,1.217997,-0.781614,-0.166866,-0.400583,0.646403,-0.588975,0.011666,0.049173,0.151915,-0.050786,0.404728,0.141624,0.186691,1
6705,'2016/09/28 23:46:37:312',29,1.223616,-0.738531,-0.224188,-0.392771,0.654311,-0.549639,-0.0603,0.145851,0.116475,-0.085133,0.47667,0.074915,0.234762,1
6706,'2016/09/28 23:46:37:329',29,1.256588,-0.825781,-0.251732,-0.333192,0.582445,-0.520378,-0.060472,0.081477,0.126325,-0.000071,0.385777,0.100857,0.233254,1
6707,'2016/09/28 23:46:37:346',29,1.185067,-0.850789,-0.261737,-0.341063,0.61146,-0.566354,-0.039848,0.085706,0.128903,0.042402,0.405769,0.106107,0.280369,1
6708,'2016/09/28 23:46:37:362',29,1.284806,-0.861187,-0.258703,-0.341885,0.695379,-0.608549,0.020151,0.116028,0.040806,0.067431,0.372557,0.114264,0.294604,1
6709,'2016/09/28 23:46:37:378',29,1.319446,-0.890922,-0.195455,-0.358082,0.649939,-0.546684,-0.014191,0.118618,0.075597,-0.012658,0.417415,0.117377,0.25883,1
6710,'2016/09/28 23:46:37:395',29,1.297534,-0.816228,-0.280357,-0.359431,0.659196,-0.608534,-0.005339,0.020828,0.16724,-0.005709,0.351695,0.180701,0.164345,1
6711,'2016/09/28 23:46:37:412',29,1.304894,-0.78836,-0.317334,-0.380055,0.755286,-0.76631,-0.023513,0.12451,0.070037,-0.034575,0.444486,0.098526,0.16893,1
6712,'2016/09/28 23:46:37:428',29,1.242468,-0.839446,-0.153186,-0.418952,0.627619,-0.663108,0.000608,-0.02008,0.172526,-0.000731,0.344576,0.172144,0.152693,1
6713,'2016/09/28 23:46:37:445',29,1.293594,-0.692357,-0.255537,-0.393941,0.732064,-0.73871,0.02395,0.059197,0.115321,0.014072,0.341598,0.195858,0.130914,1
6714,'2016/09/28 23:46:37:462',29,1.29544,-0.764273,-0.211673,-0.358051,0.641232,-0.667739,0.05411,-0.015096,0.150078,0.020601,0.354471,0.199213,0.16688,1
6715,'2016/09/28 23:46:37:479',29,1.286925,-0.769954,-0.278433,-0.384617,0.709869,-0.718928,-0.000507,0.065821,0.08424,0.010074,0.41085,0.14314,0.17257,1
6716,'2016/09/28 23:46:37:495',29,1.29169,-0.763134,-0.275226,-0.413337,0.733128,-0.715052,-0.017359,0.02943,0.111976,0.004497,0.378547,0.132657,0.181684,1
6717,'2016/09/28 23:46:37:511',29,1.262497,-0.768935,-0.191151,-0.378764,0.689065,-0.63283,-0.009694,0.042089,0.116767,0.016856,0.358626,0.150262,0.185976,1
6718,'2016/09/28 23:46:37:528',29,1.228553,-0.729404,-0.294421,-0.271595,0.637953,-0.588543,-0.063578,0.081425,0.094105,0.037519,0.349502,0.183424,0.176445,1
6719,'2016/09/28 23:46:37:545',29,1.282677,-0.793308,-0.236033,-0.366505,0.681843,-0.636088,-0.02083,0.088699,0.021591,0.111709,0.341617,0.168297,0.196814,1
6720,'2016/09/28 23:46:37:561',29,1.241116,-0.729876,-0.29378,-0.435102,0.714745,-0.700253,0.021058,0.013179,0.091224,0.073641,0.318735,0.177975,0.163455,1
6721,'2016/09/28 23:46:37:577',29,1.325816,-0.750833,-0.272216,-0.429034,0.682542,-0.658668,-0.013183,-0.005536,0.133987,0.027878,0.292536,0.175124,0.189129,1
6722,'2016/09/28 23:46:37:595',29,1.325054,-0.713065,-0.243544,-0.412064,0.720081,-0.68845,0.00976,0.008308,0.117627,0.059351,0.325283,0.157999,0.20552,1
6723,'2016/09/28 23:46:37:611',29,1.331716,-0.733701,-0.233178,-0.382257,0.666907,-0.62869,-0.042848,0.03518,0.143086,0.00024,0.427816,0.101472,0.217466,1
6724,'2016/09/28 23:46:37:627',29,1.268034,-0.773544,-0.233595,-0.38322,0.642167,-0.661774,0.002392,-0.031811,0.130545,0.081416,0.323729,0.188135,0.165916,1
6725,'2016/09/28 23:46:37:645',29,1.255891,-0.672057,-0.360592,-0.362999,0.740564,-0.833353,0.099341,-0.013905,0.057386,0.078831,0.373897,0.094969,0.207359,1
6726,'2016/09/28 23:46:37:661',29,1.294418,-0.722108,-0.270245,-0.344918,0.654134,-0.639771,-0.043557,0.035047,0.135814,0.028043,0.349349,0.14694,0.20706,1
6727,'2016/09/28 23:46:37:678',29,1.281072,-0.703784,-0.239698,-0.357039,0.68121,-0.616612,-0.055213,0.063364,0.087173,0.058808,0.350885,0.17039,0.181226,1
6728,'2016/09/28 23:46:37:695',29,1.27661,-0.673582,-0.240476,-0.385382,0.66126,-0.590026,-0.034271,-0.022938,0.138718,0.075784,0.269288,0.215101,0.149534,1
6729,'2016/09/28 23:46:37:711',29,1.25377,-0.748869,-0.227808,-0.4479,0.683979,-0.667679,0.013878,-0.039185,0.125448,0.078036,0.305584,0.176366,0.168252,1
6730,'2016/09/28 23:46:37:728',29,1.261559,-0.727383,-0.239702,-0.433733,0.698411,-0.646191,-0.035337,0.034612,0.117506,0.023276,0.396352,0.140756,0.168609,1
6731,'2016/09/28 23:46:37:745',29,1.273192,-0.694673,-0.31285,-0.311347,0.627094,-0.642196,0.013007,0.020467,0.108624,0.088896,0.315575,0.204523,0.178417,1
6732,'2016/09/28 23:46:37:761',29,1.278207,-0.661947,-0.312507,-0.36197,0.696782,-0.676491,-0.011608,0.050981,0.103082,0.067048,0.335664,0.205589,0.158136,1
